DTADH,count
14/09/1999,19
06/09/2001,18
05/02/1999,18
16/09/1996,18
13/09/2000,17
29/11/1999,17
30/08/1999,17
18/11/1999,17
10/03/1987,17
08/12/1982,17
18/02/2000,16
20/05/1986,16
21/07/2000,16
12/10/2000,16
18/07/1983,15
15/03/1982,15
25/02/1982,15
02/12/1999,15
03/11/1994,15
02/12/1982,15
06/12/1999,15
30/03/1981,15
20/08/1999,15
09/11/1981,15
20/03/1984,14
08/12/1980,14
07/07/2000,14
23/02/1981,14
11/04/1983,14
07/10/1994,14
30/09/1999,14
05/01/2000,14
28/09/1999,14
07/03/1984,14
17/12/1999,14
21/10/1998,14
14/09/2000,14
20/09/1993,14
02/03/1981,14
12/10/1995,14
21/03/1984,14
19/11/1980,13
15/12/1999,13
10/11/1999,13
28/03/1983,13
21/04/1983,13
25/10/2001,13
31/08/2001,13
11/10/1996,13
10/10/2000,13
14/12/1999,13
31/08/1999,13
06/05/1986,13
09/09/1998,13
09/12/1999,13
05/10/2001,13
21/06/1999,13
15/10/1998,13
13/05/1998,13
15/09/1999,13
23/10/2003,13
28/09/1995,13
25/06/1982,12
23/09/1999,12
16/12/1983,12
06/10/1980,12
22/11/2002,12
02/10/1998,12
14/10/1980,12
28/12/1982,12
12/06/1990,12
09/10/2000,12
16/09/1999,12
23/10/2001,12
12/12/1980,12
16/12/1980,12
12/07/1999,12
06/11/1990,12
03/05/2000,12
21/09/1999,12
25/05/1981,12
23/04/2003,12
06/06/1983,12
12/09/2002,12
23/09/1994,12
03/04/1978,12
07/10/1999,12
22/10/1998,12
28/11/2002,12
11/10/2000,12
21/09/1998,12
15/06/2000,12
15/11/2001,12
07/12/1999,12
17/01/2000,12
06/11/2001,12
27/09/2000,12
04/10/1994,12
19/10/1998,12
07/01/2002,12
29/09/2004,12
12/11/1981,12
20/09/1994,12
03/11/1998,12
02/05/1978,12
30/11/1981,12
23/04/1987,12
09/09/1996,12
23/01/1981,11
05/08/1985,11
09/12/1980,11
