MTREV,count
0,27050
1524,38
1600,29
1829,28
1676,27
1500,26
1372,24
2000,22
2286,22
1400,21
1981,19
1300,19
1448,19
1900,17
2439,17
1800,17
1700,16
2200,15
2134,15
1000,13
2058,13
1067,13
1219,13
1554,12
1100,11
1200,11
1494,11
1295,11
2032,11
1326,10
1143,10
1631,10
3000,10
1905,10
1417,10
2500,10
2400,9
1433,9
1478,9
1570,9
2100,9
2440,9
1753,9
1951,8
1472,8
2300,8
3048,8
1402,7
1463,7
1387,7
1450,7
1250,7
1590,7
1213,7
1006,7
1875,7
3811,7
1509,7
15244,7
1693,7
1356,7
2362,6
1173,6
1768,6
1677,6
1539,6
2667,6
1525,6
1615,6
1311,6
990,6
1798,6
1021,6
2317,6
1350,6
1380,6
1551,6
1920,6
1265,6
3201,6
2800,6
2591,5
1112,5
1560,5
2042,5
2073,5
1737,5
1341,5
1378,5
1473,5
1651,5
1515,5
1541,5
1646,5
1537,5
1944,5
1150,5
1575,5
1582,5
1680,5
2103,5
1850,5
1520,5
1835,5
2820,5
3506,5
1795,4
1924,4
1464,4
1475,4
2113,4
2060,4
1314,4
2515,4
1286,4
1580,4
2244,4
2277,4
1661,4
1941,4
2744,4
1457,4
3735,4
3557,4
2365,4
1692,4
1840,4
2450,4
4573,4
1298,4
2092,4
1567,4
1736,4
1123,4
1982,4
1204,4
1820,4
1714,4
2119,4
1452,4
152449,4
1683,4
2900,4
2210,4
1980,4
1379,4
1550,4
1636,4
2675,4
1158,4
1522,4
1750,4
3300,4
1260,4
2637,4
945,4
1572,4
1805,4
1950,4
1545,4
2195,4
1610,4
1456,4
1470,4
1609,4
1336,4
1707,4
1540,4
2260,4
1502,4
1722,4
1732,4
2850,4
1825,4
2345,4
1899,4
2347,4
2700,3
1155,3
1014,3
1658,3
1438,3
1291,3
2081,3
3900,3
2310,3
1704,3
1321,3
2085,3
1999,3
2380,3
1552,3
2061,3
2090,3
1476,3
1145,3
1620,3
1976,3
2423,3
1377,3
1416,3
1642,3
1441,3
2019,3
1891,3
1598,3
500,3
2245,3
1843,3
2051,3
1077,3
1775,3
1399,3
1833,3
1480,3
1102,3
1310,3
1780,3
1440,3
1914,3
2130,3
1508,3
807,3
1327,3
1036,3
2745,3
1312,3
1860,3
1370,3
1435,3
1497,3
1514,3
1362,3
1830,3
970,3
1553,3
1628,3
1382,3
1936,3
1831,3
3353,3
1532,3
1359,3
2050,3
1368,3
1893,3
2173,3
3400,3
6000,3
1366,3
1817,3
1495,3
2014,3
2176,3
1969,3
1602,3
1533,3
1686,3
1220,3
1611,3
1490,3
1151,3
1812,3
1285,3
3064,3
1505,3
2075,3
2652,3
1868,3
1302,3
1585,3
914,3
2152,3
1429,3
1396,3
1947,3
1940,3
1783,3
2378,3
3100,3
1633,3
1051,3
2263,3
1757,3
2056,3
1909,3
1778,3
1369,3
1186,3
1444,3
1697,3
1785,3
1963,3
1531,3
1913,3
1308,3
2180,3
2220,3
2027,3
2555,3
2070,3
2478,3
2231,3
3090,3
1995,3
1890,3
1971,3
1649,3
2940,3
1547,2
1828,2
1084,2
1371,2
2162,2
2497,2
1781,2
2048,2
2358,2
1384,2
1072,2
4100,2
1296,2
1395,2
1353,2
2045,2
3781,2
1517,2
2791,2
1943,2
2544,2
1568,2
1671,2
838,2
2338,2
1542,2
2573,2
1883,2
1481,2
1807,2
2911,2
2462,2
1347,2
1569,2
4300,2
1248,2
890,2
2790,2
1952,2
1821,2
1059,2
2297,2
2356,2
2125,2
1929,2
2143,2
1718,2
2208,2
1687,2
2904,2
1888,2
1451,2
2083,2
2164,2
1385,2
1663,2
1352,2
1170,2
2585,2
2342,2
1859,2
2160,2
2510,2
968,2
1916,2
1699,2
2896,2
1318,2
2374,2
533,2
2111,2
1405,2
1721,2
1266,2
2183,2
2705,2
3174,2
2104,2
1935,2
1462,2
2336,2
1751,2
1432,2
1235,2
1884,2
2588,2
2740,2
2017,2
1534,2
1854,2
1745,2
1535,2
1703,2
1323,2
1897,2
1406,2
1443,2
1558,2
1797,2
600,2
2393,2
2947,2
1518,2
1654,2
2301,2
3140,2
1679,2
1691,2
1273,2
4190,2
1404,2
2288,2
2331,2
1238,2
1744,2
1328,2
1197,2
1561,2
1454,2
1645,2
949,2
1237,2
1290,2
1653,2
2259,2
1630,2
1934,2
1848,2
1511,2
1973,2
1413,2
1685,2
1424,2
936,2
1210,2
1257,2
2065,2
1044,2
1128,2
1208,2
2600,2
1523,2
3125,2
1191,2
1733,2
1647,2
954,2
1720,2
2828,2
1423,2
1422,2
2248,2
2285,2
1896,2
1546,2
1988,2
1280,2
2262,2
609,2
892,2
1516,2
2681,2
1618,2
921,2
1607,2
1804,2
1320,2
1872,2
1743,2
1386,2
1401,2
1431,2
2630,2
1409,2
1846,2
1240,2
1414,2
2094,2
1388,2
2465,2
1403,2
1458,2
1608,2
2322,2
2289,2
1189,2
2422,2
1398,2
1915,2
2282,2
1640,2
1650,2
1749,2
1270,2
1510,2
1583,2
2360,2
1343,2
1499,2
1729,2
3200,2
1975,2
1641,2
1461,2
698,2
1479,2
1690,2
1605,2
1588,2
3658,2
3922,2
1908,2
1097,2
1564,2
1304,2
1613,2
2053,2
1549,2
2169,2
1591,2
1460,2
1269,2
1040,2
2233,2
2484,2
1114,2
3017,2
1921,2
2313,2
846,2
2228,2
1501,2
2196,2
2426,2
2417,2
2495,2
2382,2
2596,2
900,2
1374,2
2698,2
980,2
1045,2
1345,2
2030,2
1335,2
2150,2
1836,2
2320,2
1773,2
1867,2
1931,2
1777,2
1822,2
1789,2
3600,2
2574,2
2608,2
1911,2
1603,2
1639,2
2035,2
2004,2
1334,2
1234,2
1978,2
1997,2
1597,2
1880,2
1857,2
1066,2
2216,2
984,2
1965,2
3079,2
2010,2
1373,2
2178,2
1232,2
2535,2
1910,2
2699,2
940,2
1526,2
1430,2
