CDSEXE,MTREV,NBENF,CDSITFAM,DTADH,CDTMT,DTDEM,CDMOTDEM,CDCATCL,AGEAD
2,0,0,A,04/04/1972,0,25/06/2003,DV,21,33
2,0,0,A,12/04/1972,0,06/07/2005,DV,21,55
2,0,0,B,19/07/1972,0,14/02/2001,DV,21,39
3,0,0,M,28/08/1972,0,09/03/2006,DV,21,29
2,0,0,A,06/11/1972,0,22/03/1999,DV,21,45
2,0,0,A,28/12/1972,0,07/01/2000,DV,21,28
2,0,0,A,25/01/1973,0,02/09/2003,DV,21,40
3,0,0,A,26/09/1973,0,16/07/2004,DV,21,42
3,0,0,M,13/08/1974,0,31/05/2006,DV,21,36
2,0,0,A,16/09/1974,0,17/10/2006,DV,21,29
3,0,0,A,16/09/1974,0,09/03/2006,DV,21,28
3,0,0,A,02/12/1974,0,02/09/2003,DV,21,39
3,0,0,A,14/04/1976,0,04/05/2004,DV,21,33
3,0,0,M,29/04/1976,0,09/06/2004,DV,21,26
3,0,0,A,10/06/1976,0,03/07/2003,DV,21,53
4,0,0,C,03/08/1976,0,15/10/2002,DV,21,32
2,0,0,M,09/08/1976,0,08/12/2004,DV,21,37
3,0,0,A,05/10/1976,0,26/04/2004,DV,21,35
3,0,0,A,04/04/1977,0,24/10/2001,DV,21,35
2,0,0,A,10/10/1977,0,19/05/1999,DV,21,29
3,0,0,A,05/12/1977,0,16/05/2001,DV,21,28
2,0,0,A,09/06/1978,0,25/01/2001,DV,21,38
3,0,0,A,29/06/1978,0,18/04/2003,DV,21,58
2,0,0,A,12/10/1978,0,12/05/2004,DV,21,40
3,0,0,A,21/11/1978,0,29/06/2005,DV,21,28
3,2683,2,D,18/12/1978,0,23/10/2006,DV,21,29
3,0,0,A,18/01/1979,0,11/10/2000,DV,21,59
4,0,0,C,01/03/1979,0,27/06/2003,DV,21,29
2,0,0,A,30/04/1979,0,06/07/2000,DA,40,33
2,0,0,A,30/05/1979,0,22/10/2001,DV,21,33
3,0,0,A,06/12/1979,0,05/08/2003,DV,21,35
4,0,0,C,09/01/1980,0,19/10/2005,DV,21,23
4,0,0,C,11/01/1980,0,23/01/2006,DV,21,39
3,0,0,A,06/02/1980,0,02/07/2001,DV,21,31
3,0,0,A,29/02/1980,0,06/12/2002,DV,21,32
3,0,0,A,31/03/1980,0,17/05/2002,RA,21,55
3,0,0,A,08/05/1980,0,19/10/2005,DV,21,39
2,2600,0,M,02/06/1980,0,14/12/2006,DV,21,34
2,0,0,A,02/06/1980,0,10/08/1999,DV,21,30
3,0,0,A,11/06/1980,2,07/03/2001,DV,21,53
2,0,0,A,17/06/1980,0,09/08/2001,DV,21,48
3,0,0,A,17/06/1980,0,19/04/1999,DV,21,42
2,0,0,A,17/06/1980,0,30/06/2003,DV,21,43
2,0,0,A,26/09/1980,0,09/06/2004,DV,21,50
3,0,0,A,26/09/1980,0,19/05/2000,DV,21,33
2,0,0,A,10/11/1980,0,20/05/1999,DV,21,23
3,0,0,A,10/11/1980,0,23/09/2005,DV,21,35
2,0,0,A,21/11/1980,0,30/10/2006,DV,21,44
3,0,0,A,24/11/1980,0,27/05/2004,DV,21,19
3,0,0,M,15/12/1980,0,21/12/2005,DV,21,44
2,0,0,A,27/01/1981,0,05/07/1999,DV,21,30
2,0,0,A,02/02/1981,0,22/02/2002,RA,21,25
3,0,0,A,02/02/1981,0,22/11/2002,DV,21,24
3,0,0,A,27/03/1981,0,24/03/1999,DV,21,30
3,0,0,A,30/03/1981,0,11/07/2003,DV,21,23
2,0,0,M,02/04/1981,0,12/12/2006,DV,21,42
2,0,0,A,16/04/1981,0,07/04/2003,DV,21,33
2,0,0,A,16/04/1981,0,09/09/2004,DV,21,35
3,0,0,A,14/05/1981,0,31/08/2006,DV,21,31
3,0,0,A,27/05/1981,0,30/06/2003,DV,21,43
2,0,0,M,27/05/1981,0,10/11/2005,DV,21,36
3,0,0,A,18/06/1981,0,02/03/2000,DV,21,23
3,0,0,A,06/07/1981,0,30/10/2006,DV,21,43
2,0,0,A,10/07/1981,0,06/12/2002,DV,21,33
2,0,0,A,25/09/1981,0,29/01/2001,DV,21,41
3,0,0,M,26/01/1982,0,12/12/2006,DV,21,39
3,0,0,A,16/03/1982,0,16/03/2000,DV,21,33
3,0,0,A,29/03/1982,0,15/02/1999,DV,21,34
2,0,0,M,24/05/1982,0,10/11/2005,DV,21,38
2,0,0,A,08/10/1982,0,25/08/2005,DV,10,21
3,0,0,A,22/11/1982,0,13/03/2001,DV,21,48
2,0,0,A,28/02/1983,0,11/01/2001,DV,21,25
2,0,0,A,06/05/1983,0,12/03/2002,DV,21,41
2,0,0,A,05/07/1983,0,01/09/2000,DV,21,33
2,1522,2,U,16/11/1983,0,03/03/1999,DV,21,19
2,0,1,M,09/11/1983,0,23/06/2005,DV,21,30
3,0,0,A,12/12/1983,0,19/06/2003,DV,21,41
3,0,0,A,17/10/1974,0,17/12/2001,DV,21,35
3,0,0,A,23/05/1975,0,13/02/2001,DV,21,27
3,0,0,B,20/04/1976,0,06/10/2005,RA,21,27
3,0,0,A,25/11/1977,0,24/02/2006,DV,21,28
2,0,0,A,27/12/1977,0,27/10/2000,DV,21,34
2,0,0,A,02/05/1978,0,26/10/1999,DV,21,23
4,0,0,C,13/07/1978,0,09/02/2004,DA,21,30
2,0,0,A,13/07/1978,0,21/02/2002,RA,21,21
4,0,0,C,06/10/1978,0,10/08/2001,DV,21,26
2,0,0,M,06/10/1978,0,28/02/2006,DV,21,32
3,0,0,A,23/10/1979,0,18/11/2002,DV,21,29
2,0,0,A,13/11/1979,0,10/03/2000,DV,21,35
3,0,0,D,12/12/1979,2,09/10/2003,DA,21,30
3,0,0,A,14/01/1980,0,17/03/2000,DV,21,68
3,0,0,A,19/02/1980,0,16/10/2000,DV,21,34
