AGEDEM,count
56,759
55,741
51,722
52,719
48,717
53,714
54,713
57,699
50,693
59,674
58,669
33,668
44,666
32,666
46,663
49,659
42,656
31,655
61,649
43,644
37,640
62,634
47,628
45,628
41,625
30,621
35,621
60,620
40,615
38,613
36,610
34,607
39,606
63,585
29,539
65,509
64,507
66,499
28,471
67,440
68,403
69,366
27,363
70,347
71,341
72,306
26,278
73,258
75,235
74,232
76,212
77,170
25,168
78,156
79,138
80,131
24,120
81,118
82,105
83,71
84,66
23,61
85,57
86,42
87,39
22,38
21,32
20,21
19,19
88,15
89,12
90,12
91,11
92,9
93,8
95,3
94,2
102,1
99,1
97,1
